timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761016587292,306,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-3,text,true,,935,299,4,4,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,306,0,163
1761016587867,220,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-1,text,true,,935,299,5,5,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,220,0,72
1761016587908,219,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-2,text,true,,935,299,5,5,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,219,0,72
1761016590438,286,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-4,text,true,,935,299,8,8,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,286,0,72
1761016590535,229,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-5,text,true,,935,299,9,9,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,229,0,74
1761016590617,235,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-8,text,true,,935,299,9,9,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,235,0,76
1761016590878,361,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-7,text,true,,935,299,11,11,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,361,0,71
1761016590329,1395,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-1,text,true,,498,13255037,12,12,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,1395,0,0
1761016590462,1672,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-2,text,true,,498,13255021,11,11,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,1672,0,0
1761016592068,221,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-6,text,true,,935,299,10,10,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,221,0,72
1761016589609,2777,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-3,text,true,,498,52513071,10,10,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,2777,0,0
1761016593125,223,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-10,text,true,,937,300,12,12,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,223,0,72
1761016593197,229,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-9,text,true,,935,299,13,13,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,229,0,74
1761016592509,1112,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-8,text,true,,498,13255009,13,13,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,1112,0,0
1761016593681,147,Auth / Login,401,Unauthorized,TG-Upload Escalonado(login → upload multipart) 1-12,text,false,,434,299,13,13,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,147,0,73
1761016593796,145,Auth / Login,401,Unauthorized,TG-Upload Escalonado(login → upload multipart) 1-11,text,false,,434,300,13,13,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,145,0,72
1761016594049,158,Auth / Login,401,Unauthorized,TG-Upload Escalonado(login → upload multipart) 1-13,text,false,,434,300,14,14,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,158,0,72
1761016593506,1193,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-5,text,true,,498,13255033,14,14,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,1193,0,0
1761016594746,239,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-17,text,true,,939,300,15,15,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,239,0,75
1761016593951,1215,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-7,text,true,,498,13255041,15,15,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,1215,0,0
1761016595323,146,Auth / Login,401,Unauthorized,TG-Upload Escalonado(login → upload multipart) 1-15,text,false,,434,302,15,15,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,146,0,72
1761016595471,159,Auth / Login,401,Unauthorized,TG-Upload Escalonado(login → upload multipart) 1-16,text,false,,434,302,16,16,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,159,0,75
1761016595499,155,Auth / Login,401,Unauthorized,TG-Upload Escalonado(login → upload multipart) 1-14,text,false,,434,300,16,16,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,155,0,80
1761016595281,576,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-11,text,false,,3431,0,17,17,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1761016595900,257,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-20,text,true,,939,300,16,16,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,257,0,75
1761016596345,261,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-18,text,true,,939,300,16,16,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,261,0,93
1761016596658,250,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-19,text,true,,939,300,18,18,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,250,0,89
1761016596444,598,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-13,text,false,,3431,0,18,18,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1761016596602,587,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-12,text,false,,3431,0,18,18,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1761016595838,1360,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-10,text,true,,498,13255003,17,17,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,1360,0,0
1761016596907,574,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-14,text,false,,3431,0,16,16,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1761016594750,2854,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-6,text,true,,498,52513035,16,16,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,2854,0,0
1761016597074,575,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-15,text,false,,3431,0,15,15,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1761016595068,2823,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-9,text,true,,498,52513059,14,14,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,2823,0,0
1761016596783,1203,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-17,text,true,,498,13255029,13,13,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,1203,0,0
1761016597879,214,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-23,text,true,,939,300,12,12,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,214,0,70
1761016597935,218,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-21,text,true,,939,300,12,12,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,218,0,73
1761016597741,572,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-16,text,false,,3431,0,13,13,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1761016598145,216,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-22,text,true,,939,300,12,12,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,216,0,72
1761016599013,228,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-24,text,true,,939,300,15,15,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,228,0,73
1761016599080,233,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-27,text,true,,939,300,15,15,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,233,0,75
1761016598450,1038,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-20,text,true,,498,13255045,16,16,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,1038,0,0
1761016599365,216,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-25,text,true,,939,300,15,15,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,216,0,72
1761016599492,212,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-26,text,true,,939,300,15,15,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,212,0,69
1761016599750,230,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-28,text,true,,939,300,15,15,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,230,0,75
1761016600273,233,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-29,text,true,,939,300,16,16,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,233,0,71
1761016599544,1063,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-23,text,true,,498,13255005,16,16,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,1063,0,0
1761016599819,1283,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-19,text,true,,498,13255017,18,18,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,1283,0,0
1761016591810,9364,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-4,text,true,,498,13255005,18,18,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/videos/upload,9364,0,0
1761016601125,252,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-30,text,true,,939,300,17,17,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,252,0,71
1761016601896,320,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-32,text,true,,939,300,18,18,http://ec2-3-94-216-59.compute-1.amazonaws.com:8080/api/auth/login,320,0,124
