timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762910326251,345,Auth / Login,200,OK,TG-Upload (login → upload multipart) 1-1,text,true,,959,334,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,345,0,200
1762910328946,1180,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,13255044,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,1180,0,0
1762910331155,189,Auth / Login,200,OK,TG-Upload (login → upload multipart) 1-1,text,true,,959,825,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,189,0,0
1762910333930,707,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,13255060,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,707,0,0
1762910335698,170,Auth / Login,200,OK,TG-Upload (login → upload multipart) 1-1,text,true,,959,825,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,170,0,0
1762910337294,3275,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,52513082,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,3275,0,0
1762910341857,188,Auth / Login,200,OK,TG-Upload (login → upload multipart) 1-1,text,true,,959,825,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,188,0,0
1762910344818,607,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,13255052,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,607,0,0
1762910346548,141,Auth / Login,200,OK,TG-Upload (login → upload multipart) 1-1,text,true,,959,825,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,141,0,0
1762910348583,547,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,13255056,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,547,0,0
1762910350333,140,Auth / Login,200,OK,TG-Upload (login → upload multipart) 1-1,text,true,,959,825,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,140,0,0
1762910351934,2973,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,52513102,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,2973,0,0
1762910357092,183,Auth / Login,200,OK,TG-Upload (login → upload multipart) 1-1,text,true,,959,825,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,183,0,0
1762910359097,1046,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,13255044,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,1046,0,0
1762910362164,188,Auth / Login,200,OK,TG-Upload (login → upload multipart) 1-1,text,true,,959,825,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,188,0,0
1762910364335,761,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,13255044,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,761,0,0
1762910366892,186,Auth / Login,200,OK,TG-Upload (login → upload multipart) 1-1,text,true,,959,825,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,186,0,0
1762910369503,4163,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,52513090,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,4163,0,0
1762910375324,184,Auth / Login,200,OK,TG-Upload (login → upload multipart) 1-1,text,true,,961,826,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,184,0,0
1762910376805,731,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,13255062,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,731,0,0
1762910380430,85,Auth / Login,401,Unauthorized,TG-Upload (login → upload multipart) 1-1,text,false,,458,828,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,85,0,0
1762910383008,811,Videos / Upload (multipart),201,Created,TG-Upload (login → upload multipart) 1-1,text,true,,522,13255046,1,1,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,811,0,0
