timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762911137296,275,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-2,text,true,,959,334,3,3,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,275,0,130
1762911137779,209,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-1,text,true,,959,334,3,3,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,209,0,68
1762911139246,234,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-3,text,true,,959,334,7,7,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,234,0,67
1762911139283,266,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-4,text,true,,959,334,7,7,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,266,0,72
1762911140251,230,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-5,text,true,,959,334,9,9,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,230,0,72
1762911141332,244,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-8,text,true,,959,334,11,11,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,244,0,69
1762911141585,266,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-6,text,true,,959,334,12,12,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,266,0,72
1762911140205,1650,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-1,text,true,,522,13255036,12,12,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,1650,0,0
1762911141944,237,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-7,text,true,,959,334,12,12,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,237,0,71
1762911142291,271,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-9,text,true,,959,334,12,12,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,271,0,70
1762911142390,191,Auth / Login,401,Unauthorized,TG-Upload Escalonado(login → upload multipart) 1-11,text,false,,458,335,12,12,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,191,0,70
1762911140442,2306,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-2,text,true,,522,13255056,12,12,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,2306,0,0
1762911142959,164,Auth / Login,401,Unauthorized,TG-Upload Escalonado(login → upload multipart) 1-12,text,false,,458,334,11,11,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,164,0,84
1762911143026,154,Auth / Login,401,Unauthorized,TG-Upload Escalonado(login → upload multipart) 1-13,text,false,,458,335,11,11,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,154,0,74
1762911143328,252,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-10,text,true,,961,335,12,12,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/auth/login,252,0,72
1762911142214,2189,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-4,text,true,,522,13255044,17,17,http://k8s-ingressn-ingressn-1a3b1d8c93-6653d3ddb36eda14.elb.us-east-1.amazonaws.com/api/videos/upload,2189,0,0
