timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764430256926,409,Auth / Login,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,959,308,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,409,0,111
1764430258389,75,Public / List videos,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,806,694,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos,75,0,0
1764430259586,89,Public / Vote video (1),200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,440,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/1/vote,89,0,0
1764430261555,144,Public / Vote video (2),400,Bad Request,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,false,,471,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/1/vote,144,0,65
1764430263727,145,Public / Vote video (3),400,Bad Request,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,false,,471,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/1/vote,145,0,67
1764430264961,281,Ranking / Get rankings,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,464,727,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/rankings?city=Bogotá&page=1&pageSize=20,280,0,75
1764430267477,359,Auth / Login,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,959,799,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,359,0,68
1764430270268,75,Public / List videos,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,806,694,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos,75,0,0
1764430272178,86,Public / Vote video (1),404,Not Found,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,false,,458,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/2/vote,86,0,0
1764430274761,143,Public / Vote video (2),404,Not Found,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,false,,458,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/2/vote,143,0,68
1764430277079,145,Public / Vote video (3),404,Not Found,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,false,,458,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/2/vote,145,0,68
1764430279164,150,Ranking / Get rankings,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,464,727,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/rankings?city=Bogotá&page=1&pageSize=20,150,0,71
1764430281559,357,Auth / Login,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,959,799,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,357,0,65
1764430283738,74,Public / List videos,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,806,694,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos,74,0,0
1764430286274,79,Public / Vote video (1),200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,440,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/3/vote,79,0,0
1764430288461,147,Public / Vote video (2),400,Bad Request,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,false,,471,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/3/vote,147,0,68
1764430290264,144,Public / Vote video (3),400,Bad Request,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,false,,471,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/3/vote,143,0,67
1764430293384,144,Ranking / Get rankings,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,464,727,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/rankings?city=Bogotá&page=1&pageSize=20,144,0,67
1764430296119,314,Auth / Login,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,959,799,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,314,0,67
1764430297738,75,Public / List videos,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,806,694,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos,75,0,0
1764430299825,76,Public / Vote video (1),404,Not Found,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,false,,458,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/4/vote,76,0,0
1764430302289,146,Public / Vote video (2),404,Not Found,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,false,,458,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/4/vote,146,0,67
1764430305160,154,Public / Vote video (3),404,Not Found,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,false,,458,780,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/videos/4/vote,154,0,71
1764430307672,140,Ranking / Get rankings,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,464,727,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/public/rankings?city=Bogotá&page=1&pageSize=20,140,0,65
1764430309947,287,Auth / Login,200,OK,TG-Interactivo (login → listar → votar×3 → ranking) 1-1,text,true,,959,799,1,1,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,287,0,65
