timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764433692855,355,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-2,text,true,,959,308,3,3,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,355,0,80
1764433693068,438,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-1,text,true,,959,308,4,4,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,438,0,69
1764433693538,371,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-3,text,true,,959,308,4,4,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,371,0,64
1764433695590,303,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-4,text,true,,959,308,5,5,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,303,0,71
1764433695501,1506,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-1,text,true,,522,13255022,7,7,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/videos/upload,1506,0,0
1764433695400,1629,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-2,text,true,,522,13255046,6,6,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/videos/upload,1629,0,0
1764433697750,341,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-5,text,true,,959,308,8,8,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,341,0,72
1764433698069,304,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-7,text,true,,959,308,8,8,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,304,0,66
1764433698363,369,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-8,text,true,,959,308,8,8,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,369,0,82
1764433698748,322,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-6,text,true,,959,308,9,9,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,322,0,67
1764433699058,332,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-10,text,true,,963,309,10,10,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,332,0,70
1764433697872,1574,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-4,text,true,,522,13255042,10,10,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/videos/upload,1574,0,0
1764433696044,3458,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-3,text,true,,522,52513075,9,9,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/videos/upload,3457,0,0
1764433699228,299,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-9,text,true,,959,308,8,8,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,299,0,65
1764433701306,298,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-11,text,true,,963,309,15,15,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,298,0,71
1764433701326,901,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-12,text,true,,963,309,15,15,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,901,0,66
1764433701498,932,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-16,text,true,,963,309,16,16,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,932,0,66
1764433700626,1896,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-5,text,true,,522,13255026,16,16,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/videos/upload,1896,0,0
1764433702156,441,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-13,text,true,,963,309,15,15,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,441,0,71
1764433702449,334,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-17,text,true,,963,309,17,17,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,334,0,67
1764433702658,352,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-15,text,true,,963,309,18,18,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,352,0,74
1764433701324,1741,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-14,text,true,,963,309,18,18,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,1741,0,71
1764433703576,309,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-19,text,true,,963,309,21,21,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,309,0,67
1764433703851,348,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-20,text,true,,963,309,21,21,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,348,0,65
1764433700410,3898,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-7,text,true,,522,13255042,21,21,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/videos/upload,3898,0,0
1764433704047,351,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-18,text,true,,963,309,21,21,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,351,0,65
1764433700302,4314,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-6,text,true,,522,52513043,21,21,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/videos/upload,4314,0,0
1764433704532,370,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-24,text,true,,963,309,20,20,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,370,0,79
1764433704686,292,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-22,text,true,,963,309,20,20,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,292,0,66
1764433704719,363,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-23,text,true,,963,309,20,20,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,363,0,66
1764433704546,682,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-21,text,true,,963,309,20,20,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,682,0,69
1764433703878,1516,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-11,text,true,,522,13255022,21,21,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/videos/upload,1516,0,0
1764433705464,313,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-27,text,true,,963,309,20,20,http://videorank-alb-678975584.us-east-1.elb.amazonaws.com/api/auth/login,313,0,64
