timeStamp,elapsed,label,responseCode,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,Connect
1759103863279,240,Auth / Login,200,true,,934,301,1,2,239,84
1759103865548,86,Public / List videos,200,true,,2247,686,1,2,86,0
1759103866716,94,Public / Vote video (1),400,false,,471,772,1,2,93,0
1759103869508,2668,Public / Vote video (2),400,false,,471,772,1,2,2667,652
1759103874797,2384,Public / Vote video (3),400,false,,471,772,1,2,2383,1042
1759103879998,4703,Ranking / Get rankings,200,true,,590,719,1,2,4703,2053
1759103885946,7151,Auth / Login,200,true,,934,791,1,2,7151,3453
1759103895045,3323,Public / List videos,200,true,,2247,686,1,2,3323,0
1759103900779,3506,Public / Vote video (1),400,false,,471,772,1,2,3505,0
1759103906051,6277,Public / Vote video (2),400,false,,471,772,1,2,6277,3456
1759103915075,177,Public / Vote video (3),400,false,,471,772,1,2,177,76
1759103917895,6761,Ranking / Get rankings,200,true,,590,719,1,2,6760,3442
