timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759108934602,232,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-1,text,true,,934,301,2,2,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,231,0,84
1759108936407,227,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-2,text,true,,934,301,4,4,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,227,0,81
1759108937451,231,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-3,text,true,,934,301,7,7,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,231,0,76
1759108938530,485,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-6,text,true,,934,301,8,8,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,485,0,112
1759108938707,696,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-4,text,true,,934,301,8,8,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,696,0,308
1759108939338,882,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-5,text,true,,934,301,10,10,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,882,0,369
1759108939596,967,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-8,text,true,,934,301,10,10,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,967,0,504
1759108939964,895,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-7,text,true,,934,301,10,10,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,895,0,422
1759108941327,1096,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-10,text,true,,937,302,12,12,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,1096,0,441
1759108941387,1130,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-9,text,true,,934,301,12,12,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,1130,0,534
1759108937804,4744,Videos / Upload (multipart),201,Created,TG-Upload Escalonado(login → upload multipart) 1-1,text,true,,498,13255022,12,12,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,4744,0,0
1759108942575,695,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-11,text,true,,937,302,13,13,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,695,0,333
1759108944603,3315,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-14,text,true,,937,302,24,24,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,3315,0,1507
1759108944998,3624,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-12,text,true,,934,301,25,25,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,3624,0,1590
1759108945362,3566,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-16,text,true,,942,304,25,25,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,3566,0,1717
